time_ms,upstream_rel_Pa,downstream_rel_Pa,deltaP_zeroed_Pa,read_gap_us
1,-1.06,-3.90,2.84,45
21,0.41,-3.90,4.30,49
41,0.41,-2.26,2.66,49
62,0.41,-2.26,2.66,48
82,0.41,-2.26,2.66,45
102,0.41,-2.26,2.66,51
122,-5.38,-2.26,-3.12,50
143,-5.38,-2.30,-3.08,47
163,-5.38,-2.30,-3.08,46
183,-5.38,-2.30,-3.08,46
204,-5.38,-2.30,-3.08,53
224,3.70,-2.30,6.01,50
244,3.70,-2.21,5.91,46
265,3.70,-2.21,5.91,49
285,3.70,-2.21,5.91,48
305,3.70,-2.21,5.91,53
325,1.04,-2.21,3.25,48
346,1.04,3.02,-1.98,45
366,1.04,3.02,-1.98,47
386,1.04,3.02,-1.98,45
407,1.04,3.02,-1.98,53
427,-0.70,3.02,-3.71,50
447,-0.70,-0.35,-0.34,46
467,-0.70,-0.35,-0.34,46
488,-0.70,-0.35,-0.34,45
508,-0.70,-0.35,-0.34,52
528,-4.67,-0.35,-4.32,49
549,-4.67,-0.99,-3.68,46
569,-4.67,-0.99,-3.68,46
589,-4.67,-0.99,-3.68,46
610,-4.67,-0.99,-3.68,52
630,-3.28,-0.99,-2.29,48
650,-3.28,-1.33,-1.95,47
671,-3.28,-1.33,-1.95,47
691,-3.28,-1.33,-1.95,46
711,-3.28,-1.33,-1.95,51
732,-4.19,-1.33,-2.86,48
752,-4.19,0.79,-4.98,48
772,-4.19,0.79,-4.98,48
792,-4.19,0.79,-4.98,48
813,-4.19,0.79,-4.98,52
833,-4.28,0.79,-5.07,49
853,-4.28,1.72,-6.00,47
874,-4.28,1.72,-6.00,46
894,-4.28,1.72,-6.00,50
914,-4.28,1.72,-6.00,47
935,-1.74,1.72,-3.46,47
955,-1.74,-1.45,-0.29,49
975,-1.74,-1.45,-0.29,49
995,-1.74,-1.45,-0.29,51
1016,-1.74,-1.45,-0.29,51
1036,-1.67,-1.45,-0.22,51
1056,-1.67,1.38,-3.05,45
1077,-1.67,1.38,-3.05,49
1097,-1.67,1.38,-3.05,52
1117,-1.67,1.38,-3.05,48
1138,-1.37,1.38,-2.76,48
1158,-1.37,0.57,-1.95,47
1178,-1.37,0.57,-1.95,47
1198,-1.37,0.57,-1.95,49
1219,-1.37,0.57,-1.95,47
1239,1.87,0.57,1.30,47
1259,1.87,1.09,0.78,45
1280,1.87,1.09,0.78,46
1300,1.87,1.09,0.78,47
1320,1.87,1.09,0.78,50
1340,2.73,1.09,1.64,48
1361,2.73,-0.82,3.55,49
1381,2.73,-0.82,3.55,50
1401,2.73,-0.82,3.55,49
1422,2.73,-0.82,3.55,48
1442,-2.82,-0.82,-2.00,48
1462,-2.82,-1.74,-1.08,48
1483,-2.82,-1.74,-1.08,45
1503,-2.82,-1.74,-1.08,52
1523,-2.82,-1.74,-1.08,46
1543,-10.24,-1.74,-8.50,46
1564,-10.24,-11.24,1.00,46
1584,-10.24,-11.24,1.00,46
1604,-10.24,-11.24,1.00,47
1625,-10.24,-11.24,1.00,51
1645,-5.82,-11.24,5.42,47
1665,-5.82,-1.11,-4.71,45
1686,-5.82,-1.11,-4.71,45
1706,-5.82,-1.11,-4.71,53
1726,-5.82,-1.11,-4.71,48
1747,28.84,-1.11,29.95,48
1767,28.84,48.72,-19.87,47
1787,28.84,48.72,-19.87,49
1807,28.84,48.72,-19.87,50
1828,28.84,48.72,-19.87,50
1848,119.84,48.72,71.12,48
1868,119.84,114.69,5.15,47
1889,119.84,114.69,5.15,47
1909,119.84,114.69,5.15,51
1929,119.84,114.69,5.15,47
1949,103.16,114.69,-11.52,47
1970,103.16,107.68,-4.52,46
1990,103.16,107.68,-4.52,47
2010,103.16,107.68,-4.52,52
2031,103.16,107.68,-4.52,48
2051,93.20,107.68,-14.48,48
2071,93.20,87.87,5.33,44
2092,93.20,87.87,5.33,47
2112,93.20,87.87,5.33,53
2132,93.20,87.87,5.33,50
2152,63.34,87.87,-24.53,47
2173,63.34,59.63,3.71,47
2193,63.34,59.63,3.71,54
2213,63.34,59.63,3.71,49
2234,63.34,59.63,3.71,49
2254,32.34,59.63,-27.30,48
2274,32.34,34.53,-2.20,46
2294,32.34,34.53,-2.20,49
2315,32.34,34.53,-2.20,49
2335,32.34,34.53,-2.20,46
2355,17.16,34.53,-17.37,46
2376,17.16,14.61,2.55,47
2396,17.16,14.61,2.55,52
2416,17.16,14.61,2.55,49
2436,17.16,14.61,2.55,47
2457,3.95,14.61,-10.66,46
2477,3.95,8.31,-4.37,46
2497,3.95,8.31,-4.37,53
2518,3.95,8.31,-4.37,51
2538,3.95,8.31,-4.37,50
2558,-2.48,8.31,-10.79,49
2579,-2.48,-2.48,0.00,49
2599,-2.48,-2.48,0.00,52
2619,-2.48,-2.48,0.00,49
2639,-2.48,-2.48,0.00,50
2660,-4.14,-2.48,-1.66,46
2680,-4.14,0.65,-4.79,47
2700,-4.14,0.65,-4.79,49
2721,-4.14,0.65,-4.79,51
2741,-4.14,0.65,-4.79,47
2761,-2.50,2.11,-4.61,47
2782,-2.50,2.11,-4.61,48
2802,-2.50,2.11,-4.61,53
2822,-2.50,2.11,-4.61,46
2842,-2.50,2.11,-4.61,46
2863,-1.74,-0.35,-1.39,46
2883,-1.74,-0.35,-1.39,49
2903,-1.74,-0.35,-1.39,52
2924,-1.74,-0.35,-1.39,47
2944,-1.74,-0.35,-1.39,46
2964,-3.28,-0.26,-3.02,48
2985,-3.28,-0.26,-3.02,47
3005,-3.28,-0.26,-3.02,50
3025,-3.28,-0.26,-3.02,47
3045,-3.28,-0.26,-3.02,45
3066,-0.42,-0.41,-0.02,47
3086,-0.42,-0.41,-0.02,47
3106,-0.42,-0.41,-0.02,51
3127,-0.42,-0.41,-0.02,50
3147,-0.42,-0.41,-0.02,48
3167,-1.28,3.11,-4.39,47
3188,-1.28,3.11,-4.39,46
3208,-1.28,3.11,-4.39,52
3228,-1.28,3.11,-4.39,48
3248,-1.28,3.11,-4.39,49
3269,-0.11,0.94,-1.05,49
3289,-0.11,0.94,-1.05,52
3309,-0.11,0.94,-1.05,50
3330,-0.11,0.94,-1.05,48
3350,-0.11,0.94,-1.05,46
3370,1.80,2.23,-0.44,49
3391,1.80,2.23,-0.44,49
3411,1.80,2.23,-0.44,49
3431,1.80,2.23,-0.44,49
3451,1.80,2.23,-0.44,48
3472,-3.72,-0.67,-3.05,48
3492,-3.72,-0.67,-3.05,47
3512,-3.72,-0.67,-3.05,52